Symbol,Units,Security Type,IPO Date,Exchange,Market Cap,Meger Pending?,Close,Shares,Expiration,Yield*
TPGY,TPG Pace Beneficial Finance Corp. Class A,Common stocks,11/27/2020,New York Stock Exchange,"$345,800,000 ",N,9.88,"35,000,000",4/26/2021,-1.127%
LEAP,"Ribbit LEAP, Ltd. Class A",Common stocks,11/2/2020,New York Stock Exchange,"$9,914,325 ",N,9.87,"1,005,000",4/1/2021,-1.148%
VGII,Virgin Group Acquisition Corp. II Class A,Common stocks,5/13/2021,New York Stock Exchange,"$399,682,500 ",Y,9.93,"40,250,000",10/10/2021,-1.148%
BTWN,Bridgetown Holdings Limited - Class A,Common stocks,12/7/2020,NASDAQ Capital Market,"$587,853,588 ",N,9.88,"59,499,351",5/6/2021,-1.157%
HZON,Horizon Acquisition Corporation II Class A,Common stocks,12/10/2020,New York Stock Exchange,"$518,437,500 ",N,9.88,"52,500,000",5/9/2021,-1.166%
XPOA,"DPCM Capital, Inc. Class A",Common stocks,12/11/2020,New York Stock Exchange,"$296,400,000 ",Y,9.88,"30,000,000",5/10/2021,-1.169%
FVAM,5:01 Acquisition Corp. - Class A,Common stocks,10/14/2020,NASDAQ Capital Market,"$84,920,780 ",N,9.86,"8,621,399",3/13/2021,-1.183%
HUGS,USHG Acquisition Corp. Class A,Common stocks,4/19/2021,New York Stock Exchange,"$284,625,000 ",Y,9.92,"28,750,000",9/16/2021,-1.185%
VYGG,Vy Global Growth Class A,Common stocks,11/20/2020,New York Stock Exchange,"$566,950,000 ",N,9.87,"57,500,000",4/19/2021,-1.200%
EUCR,Eucrates Biomedical Acquisition Corp.,Common stocks,12/28/2020,NASDAQ Capital Market,"$132,931,730 ",N,9.88,"13,459,124",5/27/2021,-1.225%
TMKR,Tastemaker Acquisition Corp. Class A,Common stocks,3/1/2021,NASDAQ Capital Market,"$272,964,000 ",N,9.9,"27,600,000",7/29/2021,-1.237%
WEL,Integrated Wellness Acquisition Corp,Common stocks,1/18/2022,New York Stock Exchange,"$115,115,000 ",N,10.01,"11,500,000",6/17/2022,-1.240%
FPAC,Far Peak Acquisition Corporation Class A,Common stocks,9/8/2020,New York Stock Exchange,"$591,000,000 ",Y,9.84,"60,000,000",2/5/2021,-1.251%
GAPA,G&P Acquisition Corp. Class A,Common stocks,5/3/2021,New York Stock Exchange,"$173,775,000 ",N,9.92,"17,500,000",9/30/2021,-1.257%
NMMC,North Mountain Merger Corp. - Class A,Common stocks,11/10/2020,NASDAQ Capital Market,"$130,398,500 ",Y,9.86,"13,225,000",4/9/2021,-1.262%
TMPM,Turmeric Acquisition Corp. - Class A,Common stocks,12/16/2020,NASDAQ Capital Market,"$100,580,235 ",N,9.87,"10,190,500",5/15/2021,-1.285%
PAFO,Pacifico Acquisition Corp.,Common stocks,9/27/2021,NASDAQ Capital Market,"$74,725,150 ",N,9.97,"7,495,000",2/24/2022,-1.290%
HIGA,H.I.G. Acquisition Corp. Class A,Common stocks,12/11/2020,New York Stock Exchange,"$359,213,715 ",N,9.86,"36,394,500",5/10/2021,-1.367%
LFTR,Lefteris Acquisition Corp. - Class A,Common stocks,12/15/2020,NASDAQ Capital Market,"$204,199,555 ",N,9.86,"20,709,894",5/14/2021,-1.382%
LUXA,Lux Health Tech Acquisition Corp. - Class A,Common stocks,12/16/2020,NASDAQ Capital Market,"$339,825,000 ",N,9.86,"34,500,000",5/15/2021,-1.385%
DYNS,Dynamics Special Purpose Corp. - Class A,Common stocks,5/26/2021,NASDAQ Capital Market,"$235,257,760 ",Y,9.92,"23,715,500",10/23/2021,-1.396%
WARR,Warrior Technologies Acquisition Company Class A,Common stocks,4/19/2021,New York Stock Exchange,"$273,516,000 ",N,9.9,"27,600,000",9/16/2021,-1.484%
TEKK,Tekkorp Digital Acquisition Corp. - Class A,Common stocks,12/18/2020,NASDAQ Capital Market,"$246,500,000 ",N,9.85,"25,000,000",5/17/2021,-1.494%
VHNA,Vahanna Tech Edge Acquisition I Corp. Class A,Common stocks,1/13/2022,NASDAQ Global Market,"$199,299,600 ",N,10.01,"20,010,000",6/12/2022,-1.499%
ISLE,Isleworth Healthcare Acquisition Corporation,Common stocks,3/29/2021,NASDAQ Capital Market,"$258,769,550 ",N,9.89,"26,191,250",8/26/2021,-1.505%
CONX,CONX Corp. - Class A,Common stocks,12/21/2020,NASDAQ Capital Market,"$739,795,800 ",N,9.85,"75,030,000",5/20/2021,-1.506%
NAAC,North Atlantic Acquisition Corporation Class A Ordinary Share,Common stocks,3/15/2021,NASDAQ Capital Market,"$359,766,000 ",Y,9.88,"37,950,000",8/12/2021,-1.562%
CPAA,Conyers Park III Acquisition Corp. Class A,Common stocks,9/9/2019,NASDAQ Capital Market,"$344,148,000 ",N,9.65,"35,700,000",2/6/2020,-1.567%
PHIC,"Population Health Investment Co., Inc. - Class A",Common stocks,1/8/2021,NASDAQ Capital Market,"$169,912,500 ",N,9.85,"17,250,000",6/7/2021,-1.584%
ASPA,"Abri SPAC I, Inc.",Common stocks,9/2/2021,NASDAQ Capital Market,"$74,097,640 ",N,9.95,"7,461,998",1/30/2022,-1.660%
CLAY,Chavant Capital Acquisition Corp.,Common stocks,8/13/2021,NASDAQ Capital Market,"$99,400,000 ",N,9.94,"10,000,000",1/10/2022,-1.685%
ISAA,Iron Spark I Inc.,Common stocks,6/9/2021,NASDAQ Capital Market,"$176,920,920 ",Y,9.91,"17,870,800",11/6/2021,-1.685%
ARBG,Aequi Acquisition Corp.,Common stocks,1/11/2021,NASDAQ Capital Market,"$226,550,000 ",N,9.84,"23,000,000",6/10/2021,-1.707%
AKIC,Sports Ventures Acquisition Corp. - Class A,Common stocks,2/26/2021,NASDAQ Capital Market,"$233,051,000 ",N,9.86,"23,660,000",7/26/2021,-1.721%
HAAC,Health Assurance Acquisition Corp. - Class A,Common stocks,1/14/2021,NASDAQ Capital Market,"$516,600,000 ",N,9.84,"52,500,000",6/13/2021,-1.722%
IMAQ,International Media Acquisition Corp. Class A,Common stocks,8/16/2021,NASDAQ Capital Market,"$293,105,248 ",N,9.94,"29,546,900",1/13/2022,-1.725%
HTPA,Highland Transcend Partners I Corp. Class A,Common stocks,1/25/2021,New York Stock Exchange,"$270,600,000 ",Y,9.84,"27,500,000",6/24/2021,-1.779%
WALD,Waldencast Acquisition Corp. Class A Ordinary Share,Common stocks,5/10/2021,NASDAQ Capital Market,"$340,515,000 ",Y,9.89,"34,500,000",10/7/2021,-1.788%
PIPP,Pine Island Acquisition Corp. Class A,Common stocks,1/7/2021,New York Stock Exchange,"$214,674,913 ",N,9.83,"21,838,750",6/6/2021,-1.794%
SNRH,Senior Connect Acquisition Corp. I Class A,Common stocks,2/1/2021,NASDAQ Capital Market,"$407,376,000 ",N,9.84,"41,400,000",7/1/2021,-1.818%
AMCI,AMCI Acquisition Corp. II Class A,Common stocks,2/22/2021,NASDAQ Capital Market,"$147,900,000 ",N,9.85,"15,000,000",7/22/2021,-1.821%
PGRW,Progress Acquisition Corp. Class A,Common stocks,3/15/2021,NASDAQ Capital Market,"$171,564,000 ",N,9.86,"17,400,000",8/12/2021,-1.826%
ASPC,Alpha Capital Acquisition Company - One Class A,Common stocks,4/12/2021,NASDAQ Capital Market,"$227,010,000 ",Y,9.87,"23,000,000",9/9/2021,-1.882%
HCAR,Healthcare Services Acquisition Corporation - Class A,Common stocks,1/5/2021,NASDAQ Capital Market,"$326,232,000 ",N,9.82,"33,120,000",6/4/2021,-1.891%
FTCV,FinTech Acquisition Corp. V Class A,Common stocks,1/25/2021,NASDAQ Capital Market,"$251,528,400 ",Y,9.83,"25,640,000",6/24/2021,-1.892%
HMCO,HumanCo Acquisition Corp. - Class A,Common stocks,1/28/2021,NASDAQ Capital Market,"$307,187,500 ",N,9.83,"31,250,000",6/27/2021,-1.910%
ADER,26 Capital Acquisition Corp. - Class A,Common stocks,3/8/2021,NASDAQ Capital Market,"$270,875,000 ",Y,9.85,"27,500,000",8/5/2021,-1.910%
NOAC,Natural Order Acquisition Corp.,Common stocks,1/29/2021,NASDAQ Capital Market,"$282,612,500 ",N,9.83,"28,750,000",6/28/2021,-1.916%
CTAQ,Carney Technology Acquisition Corp. II Class A,Common stocks,2/1/2021,NASDAQ Capital Market,"$404,093,000 ",N,9.83,"41,150,000",7/1/2021,-1.933%
EJFA,EJF Acquisition Corp. Class A ordinary share,Common stocks,4/19/2021,NASDAQ Capital Market,"$283,762,500 ",Y,9.87,"28,750,000",9/16/2021,-1.935%
GIIX,"Gores Holdings VIII, Inc. Class A",Common stocks,4/19/2021,NASDAQ Capital Market,"$340,170,000 ",Y,9.87,"34,500,000",9/16/2021,-1.935%
FLAC,Frazier Lifesciences Acquisition Corporation Class A,Common stocks,2/8/2021,NASDAQ Capital Market,"$140,578,830 ",N,9.83,"14,301,000",7/8/2021,-1.976%
PRSR,Prospector Capital Corp. Class A,Common stocks,3/1/2021,NASDAQ Capital Market,"$318,880,250 ",N,9.84,"32,500,000",7/29/2021,-1.991%
DMAQ,Deep Medicine Acquisition Corp. Class A,Common stocks,12/2/2021,NASDAQ Global Market,"$126,247,000 ",N,9.99,"12,650,000",5/1/2022,-2.002%
ADEX,Adit EdTech Acquisition Corp.,Common stocks,3/3/2021,New York Stock Exchange,"$236,040,000 ",Y,9.84,"24,000,000",7/31/2021,-2.005%
PTIC,PropTech Investment Corporation II Class A,Common stocks,1/25/2021,NASDAQ Capital Market,"$226,090,000 ",N,9.82,"23,000,000",6/24/2021,-2.006%
CFIV,CF Acquisition Corp. IV Class A,Common stocks,2/16/2021,NASDAQ Capital Market,"$500,565,000 ",N,9.83,"51,000,000",7/16/2021,-2.028%
QFTA,Quantum FinTech Acquisition Corporation,Common stocks,3/10/2021,New York Stock Exchange,"$172,200,000 ",Y,9.84,"17,500,000",8/7/2021,-2.054%
PANA,Panacea Acquisition Corp. II Class A,Common stocks,8/24/2020,NASDAQ Capital Market,"$173,145,350 ",N,9.73,"17,795,000",1/21/2021,-2.068%
IGNY,Ignyte Acquisition Corp.,Common stocks,3/12/2021,NASDAQ Capital Market,"$71,709,000 ",N,9.84,"7,287,500",8/9/2021,-2.068%
SHAC,SCP & CO Healthcare Acquisition Company Class A,Common stocks,3/15/2021,NASDAQ Capital Market,"$226,320,000 ",N,9.84,"23,000,000",8/12/2021,-2.091%
AGCB,Altimeter Growth Corp. 2 Class A,Common stocks,1/7/2021,New York Stock Exchange,"$452,702,000 ",N,9.8,"46,100,000",6/6/2021,-2.117%
OMEG,Omega Alpha SPAC - Class A,Common stocks,1/7/2021,NASDAQ Capital Market,"$140,149,800 ",N,9.8,"14,301,000",6/6/2021,-2.117%
BLTS,Bright Lights Acquisition Corp. Class A,Common stocks,3/1/2021,NASDAQ Capital Market,"$226,090,000 ",Y,9.83,"23,000,000",7/29/2021,-2.118%
PAQC,Provident Acquisition Corp. Class A,Common stocks,3/1/2021,NASDAQ Capital Market,"$225,860,000 ",Y,9.83,"23,000,000",7/29/2021,-2.118%
SVFA,SVF Investment Corp. - Class A,Common stocks,1/27/2021,NASDAQ Capital Market,"$478,681,490 ",N,9.81,"48,845,050",6/26/2021,-2.132%
COOL,Corner Growth Acquisition Corp. - Class A,Common stocks,2/19/2021,NASDAQ Capital Market,"$392,800,000 ",N,9.82,"40,000,000",7/19/2021,-2.171%
ACTD,ArcLight Clean Transition Corp. II - Class A,Common stocks,5/19/2021,NASDAQ Capital Market,"$307,740,256 ",Y,9.87,"31,116,305",10/16/2021,-2.205%
CPTK,Crown PropTech Acquisitions Class A,Common stocks,3/30/2021,New York Stock Exchange,"$271,860,000 ",Y,9.84,"27,600,000",8/27/2021,-2.209%
GFX,Golden Falcon Acquisition Corp. Class A,Common stocks,2/8/2021,New York Stock Exchange,"$338,445,000 ",N,9.81,"34,500,000",7/8/2021,-2.213%
IIII,INSU Acquisition Corp. III Class A,Common stocks,2/8/2021,NASDAQ Capital Market,"$251,146,500 ",N,9.81,"25,575,000",7/8/2021,-2.213%
VII,7GC & Co. Holdings Inc. - Class A,Common stocks,2/12/2021,NASDAQ Capital Market,"$225,630,000 ",N,9.81,"23,000,000",7/12/2021,-2.242%
LHC,Leo Holdings Corp. II Class A,Common stocks,3/1/2021,New York Stock Exchange,"$367,875,000 ",N,9.82,"37,500,000",7/29/2021,-2.244%
PACX,Pioneer Merger Corp. - Class A,Common stocks,3/1/2021,NASDAQ Capital Market,"$394,852,500 ",N,9.82,"40,250,000",7/29/2021,-2.244%
CMCA,Capitalworks Emerging Markets Acquisition Corp Class A,Common stocks,1/21/2022,NASDAQ Global Market,"$229,482,500 ",N,10.02,"23,000,000",6/20/2022,-2.246%
GNAC,Group Nine Acquisition Corp. - Class A,Common stocks,3/8/2021,NASDAQ Capital Market,"$225,400,000 ",N,9.82,"23,000,000",8/5/2021,-2.299%
SLCR,Silver Crest Acquisition Corporation - Class A,Common stocks,3/8/2021,NASDAQ Capital Market,"$338,486,400 ",N,9.82,"34,500,000",8/5/2021,-2.299%
MTAC,MedTech Acquisition Corporation Class A,Common stocks,2/8/2021,NASDAQ Capital Market,"$245,000,000 ",N,9.8,"25,000,000",7/8/2021,-2.332%
FVT,Fortress Value Acquisition Corp. III Class A,Common stocks,2/25/2021,New York Stock Exchange,"$196,200,000 ",N,9.81,"20,000,000",7/25/2021,-2.340%
KAIR,Kairos Acquisition Corp. - Class A,Common stocks,2/26/2021,NASDAQ Capital Market,"$271,584,000 ",N,9.81,"27,600,000",7/26/2021,-2.348%
NSTB,Northern Star Investment Corp. II Class A,Common stocks,2/11/2021,New York Stock Exchange,"$392,000,000 ",N,9.8,"40,000,000",7/11/2021,-2.355%
EPHY,Epiphany Technology Acquisition Corp. Class A,Common stocks,3/1/2021,NASDAQ Capital Market,"$402,290,000 ",N,9.81,"41,050,000",7/29/2021,-2.372%
SAMA,Schultze Special Purpose Acquisition Corp. II Class A,Common stocks,12/28/2020,NASDAQ Global Market,"$163,020,000 ",N,9.77,"16,500,000",5/27/2021,-2.374%
FSSI,Fortistar Sustainable Solutions Corp. Class A,Common stocks,3/19/2021,NASDAQ Capital Market,"$253,316,250 ",N,9.82,"25,875,000",8/16/2021,-2.391%
BOAS,BOA Acquisition Corp. Class A,Common stocks,4/5/2021,New York Stock Exchange,"$226,090,000 ",Y,9.83,"23,000,000",9/2/2021,-2.404%
DLCA,Deep Lake Capital Acquisition Corp. - Class A,Common stocks,3/5/2021,NASDAQ Capital Market,"$202,860,000 ",N,9.81,"20,700,000",8/2/2021,-2.404%
OXUS,Oxus Acquisition Corp. Class A,Common stocks,10/6/2021,NASDAQ Capital Market,"$171,870,375 ",N,9.95,"17,250,000",3/5/2022,-2.412%
CCV,Churchill Capital Corp V Class A,Common stocks,2/5/2021,New York Stock Exchange,"$440,550,000 ",N,9.79,"45,000,000",7/5/2021,-2.428%
AEAC,Authentic Equity Acquisition Corp. - Class A,Common stocks,3/8/2021,NASDAQ Capital Market,"$225,400,000 ",N,9.81,"23,000,000",8/5/2021,-2.429%
HCIC,Hennessy Capital Investment Corp. V - Class A,Common stocks,3/8/2021,NASDAQ Capital Market,"$338,100,000 ",N,9.81,"34,500,000",8/5/2021,-2.429%
GSQD,G Squared Ascend I Inc. Class A,Common stocks,3/26/2021,New York Stock Exchange,"$303,093,301 ",Y,9.82,"30,896,361",8/23/2021,-2.453%
PV,Primavera Capital Acquisition Corporation Class A,Common stocks,3/15/2021,New York Stock Exchange,"$406,548,000 ",N,9.81,"41,400,000",8/12/2021,-2.490%
GLTA,Galata Acquisition Corp. Class A,Common stocks,8/11/2021,NYSE American,"$142,456,250 ",N,9.91,"14,375,000",1/8/2022,-2.496%
MCAF,Mountain Crest Acquisition Corp. IV,Common stocks,7/28/2021,NASDAQ Capital Market,"$74,668,100 ",N,9.9,"7,557,500",12/25/2021,-2.508%
ABGI,ABG Acquisition Corp. I - Class A,Common stocks,2/17/2021,NASDAQ Capital Market,"$152,394,077 ",N,9.79,"15,566,300",7/17/2021,-2.524%
FCAX,Fortress Capital Acquisition Corp. Class A,Common stocks,3/5/2021,New York Stock Exchange,"$343,000,000 ",N,9.8,"35,000,000",8/2/2021,-2.533%
FINM,Marlin Technology Corporation - Class A,Common stocks,3/5/2021,NASDAQ Capital Market,"$405,720,000 ",N,9.8,"41,400,000",8/2/2021,-2.533%
PNTM,Pontem Corporation Class A,Common stocks,3/5/2021,New York Stock Exchange,"$588,000,000 ",N,9.8,"60,000,000",8/2/2021,-2.533%
CLAS,Class Acceleration Corp. Class A,Common stocks,3/8/2021,New York Stock Exchange,"$220,432,500 ",N,9.8,"22,500,000",8/5/2021,-2.560%
PRPC,CC Neuberger Principal Holdings III Class A,Common stocks,3/26/2021,New York Stock Exchange,"$394,651,250 ",N,9.81,"40,250,000",8/23/2021,-2.592%
TZPS,TZP Strategies Acquisition Corp. - Class A,Common stocks,3/12/2021,NASDAQ Capital Market,"$281,750,000 ",N,9.8,"28,750,000",8/9/2021,-2.596%
ROCG,Roth CH Acquisition IV Co.,Common stocks,8/31/2021,NASDAQ Capital Market,"$147,178,080 ",N,9.92,"14,836,500",1/28/2022,-2.616%
JCIC,Jack Creek Investment Corp. Class A,Common stocks,3/15/2021,NASDAQ Capital Market,"$338,100,000 ",N,9.8,"34,500,000",8/12/2021,-2.624%
LMACA,Liberty Media Acquisition Corporation Series A,Common stocks,3/15/2021,NASDAQ Capital Market,"$565,225,000 ",N,9.8,"57,500,000",8/12/2021,-2.624%
EAC,Edify Acquisition Corp. Class A,Common stocks,3/1/2021,NASDAQ Capital Market,"$337,755,000 ",N,9.79,"34,500,000",7/29/2021,-2.627%
KLAQ,KL Acquisition Corp Class A,Common stocks,3/1/2021,NASDAQ Capital Market,"$281,462,500 ",N,9.79,"28,750,000",7/29/2021,-2.627%
VTIQ,VectoIQ Acquisition Corp. II - Class A,Common stocks,3/3/2021,NASDAQ Capital Market,"$346,566,000 ",N,9.79,"35,400,000",7/31/2021,-2.645%
OPA,Magnum Opus Acquisition Limited Class A,Common stocks,5/14/2021,New York Stock Exchange,"$196,800,000 ",Y,9.84,"20,000,000",10/11/2021,-2.661%
CSTA,Constellation Acquisition Corp I Class A,Common stocks,3/19/2021,New York Stock Exchange,"$294,000,000 ",N,9.8,"30,000,000",8/16/2021,-2.662%
ITHX,ITHAX Acquisition Corp. - Class A,Common stocks,3/19/2021,NASDAQ Capital Market,"$243,533,250 ",Y,9.8,"24,825,000",8/16/2021,-2.662%
HLAH,"Hamilton Lane Alliance Holdings I, Inc. - Class A",Common stocks,3/5/2021,NASDAQ Capital Market,"$270,480,000 ",N,9.79,"27,600,000",8/2/2021,-2.663%
JATT,JATT Acquisition Corp Class A,Common stocks,9/2/2021,New York Stock Exchange,"$136,913,940 ",N,9.92,"13,800,000",1/30/2022,-2.664%
LAAA,Lakeshore Acquisition I Corp.,Common stocks,7/23/2021,NASDAQ Capital Market,"$70,173,753 ",N,9.89,"7,095,425",12/20/2021,-2.669%
BLUA,BlueRiver Acquisition Corp. Class A,Common stocks,3/22/2021,New York Stock Exchange,"$251,898,335 ",N,9.8,"25,730,167",8/19/2021,-2.691%
SVFB,SVF Investment Corp. 2 - Class A,Common stocks,3/9/2021,NASDAQ Capital Market,"$232,372,800 ",N,9.79,"23,760,000",8/6/2021,-2.700%
MON,Monument Circle Acquisition Corp. - Class A,Common stocks,3/12/2021,NASDAQ Capital Market,"$246,000,000 ",N,9.79,"25,000,000",8/9/2021,-2.729%
JWSM,Jaws Mustang Acquisition Corp. Class A,Common stocks,3/26/2021,New York Stock Exchange,"$1,016,370,000 ",N,9.8,"103,500,000",8/23/2021,-2.731%
ASAX,Astrea Acquisition Corp. Class A,Common stocks,3/14/2021,NASDAQ Capital Market,"$215,747,125 ",Y,9.79,"22,037,500",8/11/2021,-2.748%
EPWR,Empowerment & Inclusion Capital I Corp. Class A,Common stocks,3/1/2021,New York Stock Exchange,"$270,204,000 ",N,9.78,"27,600,000",7/29/2021,-2.754%
OEPW,One Equity Partners Open Water I Corp. Class A,Common stocks,3/15/2021,NASDAQ Capital Market,"$337,755,000 ",N,9.79,"34,500,000",8/12/2021,-2.758%
RMGC,RMG Acquisition Corp. III Class A,Common stocks,3/29/2021,NASDAQ Capital Market,"$472,857,000 ",N,9.8,"48,300,000",8/26/2021,-2.762%
HHGC,HHG Capital Corporation,Common stocks,11/11/2021,NASDAQ Capital Market,"$74,545,690 ",N,9.97,"7,477,000",4/10/2022,-2.778%
PICC,Pivotal Investment Corporation III Class A,Common stocks,4/1/2021,New York Stock Exchange,"$269,652,000 ",N,9.8,"27,600,000",8/29/2021,-2.794%
ACQR,Independence Holdings Corp. Class A Ordinary Share,Common stocks,4/29/2021,NASDAQ Capital Market,"$412,766,446 ",N,9.82,"42,033,243",9/26/2021,-2.808%
EQHA,EQ Health Acquisition Corp. Class A,Common stocks,3/22/2021,New York Stock Exchange,"$215,379,608 ",N,9.79,"21,999,960",8/19/2021,-2.829%
TLGA,TLG Acquisition One Corp. Class A,Common stocks,3/22/2021,New York Stock Exchange,"$391,200,000 ",N,9.79,"40,000,000",8/19/2021,-2.829%
ARYD,ARYA Sciences Acquisition Corp IV - Class A,Common stocks,2/26/2021,NASDAQ Capital Market,"$150,782,240 ",N,9.77,"15,449,000",7/26/2021,-2.854%
FTPA,FTAC Parnassus Acquisition Corp. Class A,Common stocks,5/3/2021,NASDAQ Capital Market,"$251,248,200 ",N,9.82,"25,690,000",9/30/2021,-2.857%
MDH,MDH Acquisition Corp. Class A,Common stocks,3/25/2021,New York Stock Exchange,"$269,928,000 ",N,9.79,"27,600,000",8/22/2021,-2.860%
NRAC,Noble Rock Acquisition Corporation - Class A,Common stocks,3/25/2021,NASDAQ Capital Market,"$236,428,500 ",N,9.79,"24,150,000",8/22/2021,-2.860%
OSTR,Oyster Enterprises Acquisition Corp. - Class A,Common stocks,3/12/2021,NASDAQ Capital Market,"$56,235,000 ",N,9.78,"5,750,000",8/9/2021,-2.862%
KRNL,"Kernel Group Holdings, Inc. - Class A",Common stocks,3/26/2021,NASDAQ Capital Market,"$298,655,000 ",N,9.79,"30,475,000",8/23/2021,-2.871%
ACII,Atlas Crest Investment Corp. II Class A,Common stocks,3/29/2021,New York Stock Exchange,"$337,755,000 ",N,9.79,"34,500,000",8/26/2021,-2.903%
CPUH,Compute Health Acquisition Corp. Class A,Common stocks,3/29/2021,New York Stock Exchange,"$843,525,000 ",N,9.79,"86,250,000",8/26/2021,-2.903%
HHLA,HH&L Acquisition Co. Class A,Common stocks,3/29/2021,New York Stock Exchange,"$405,306,000 ",N,9.79,"41,400,000",8/26/2021,-2.903%
COVA,COVA Acquisition Corp. - Class A,Common stocks,3/30/2021,NASDAQ Capital Market,"$294,000,000 ",N,9.79,"30,000,000",8/27/2021,-2.914%
DHHC,DiamondHead Holdings Corp. Class A,Common stocks,3/18/2021,NASDAQ Capital Market,"$337,410,000 ",N,9.78,"34,500,000",8/15/2021,-2.924%
HCII,Hudson Executive Investment Corp. II Class A,Common stocks,3/18/2021,NASDAQ Capital Market,"$220,050,000 ",N,9.78,"22,500,000",8/15/2021,-2.924%
AURC,Aurora Acquisition Corp. Class A,Common stocks,4/26/2021,NASDAQ Capital Market,"$272,720,815 ",Y,9.81,"27,800,287",9/23/2021,-2.930%
CLRM,Clarim Acquisition Corp. - Class A,Common stocks,3/22/2021,NASDAQ Capital Market,"$281,175,000 ",N,9.78,"28,750,000",8/19/2021,-2.966%
ZWRK,Z-Work Acquisition Corp. Class A,Common stocks,3/22/2021,NASDAQ Capital Market,"$224,940,000 ",N,9.78,"23,000,000",8/19/2021,-2.966%
VAQC,Vector Acquisition Corporation II - Class A,Common stocks,3/10/2021,NASDAQ Capital Market,"$440,325,000 ",N,9.77,"45,000,000",8/7/2021,-2.974%
APGB,Apollo Strategic Growth Capital II Class A,Common stocks,4/5/2021,New York Stock Exchange,"$674,826,900 ",N,9.79,"69,000,000",9/2/2021,-2.982%
SCOB,ScION Tech Growth II Class A,Common stocks,4/5/2021,NASDAQ Capital Market,"$338,100,000 ",N,9.79,"34,500,000",9/2/2021,-2.982%
AGAC,African Gold Acquisition Corporation Class A,Common stocks,3/25/2021,New York Stock Exchange,"$405,306,000 ",N,9.78,"41,400,000",8/22/2021,-2.999%
GHAC,Gaming & Hospitality Acquisition Corp. - Class A,Common stocks,3/26/2021,NASDAQ Capital Market,"$202,996,175 ",N,9.78,"20,777,500",8/23/2021,-3.010%
TMAC,The Music Acquisition Corporation Class A,Common stocks,3/26/2021,New York Stock Exchange,"$224,940,000 ",N,9.78,"23,000,000",8/23/2021,-3.010%
TWNI,Tailwind International Acquisition Corp. Class A,Common stocks,4/9/2021,New York Stock Exchange,"$337,755,000 ",N,9.79,"34,500,000",9/6/2021,-3.028%
AMPI,"Advanced Merger Partners, Inc. Class A",Common stocks,4/22/2021,New York Stock Exchange,"$281,750,000 ",N,9.8,"28,750,000",9/19/2021,-3.036%
TBCP,Thunder Bridge Capital Partners III Inc. Class A,Common stocks,3/29/2021,NASDAQ Capital Market,"$414,701,340 ",N,9.78,"42,403,000",8/26/2021,-3.044%
DGNU,Dragoneer Growth Opportunities Corp. III,Common stocks,3/17/2021,NASDAQ Capital Market,"$419,047,806 ",N,9.77,"43,067,606",8/14/2021,-3.049%
DNZ,D and Z Media Acquisition Corp. Class A,Common stocks,3/18/2021,New York Stock Exchange,"$244,250,000 ",N,9.77,"25,000,000",8/15/2021,-3.060%
FACA,Figure Acquisition Corp. I Class A,Common stocks,4/12/2021,New York Stock Exchange,"$281,462,500 ",N,9.79,"28,750,000",9/9/2021,-3.064%
FSRX,FinServ Acquisition Corp. II Class A,Common stocks,4/12/2021,NASDAQ Capital Market,"$302,764,000 ",N,9.79,"30,800,000",9/9/2021,-3.064%
CLIM,Climate Real Impact Solutions II Acquisition Corporation Class A,Common stocks,3/19/2021,New York Stock Exchange,"$236,670,000 ",N,9.77,"24,150,000",8/16/2021,-3.071%
EVOJ,Evo Acquisition Corp. Class A,Common stocks,4/1/2021,NASDAQ Capital Market,"$122,254,890 ",N,9.78,"12,500,500",8/29/2021,-3.079%
ATAQ,Altimar Acquisition Corp. III Class A,Common stocks,4/26/2021,New York Stock Exchange,"$151,834,500 ",N,9.8,"15,525,000",9/23/2021,-3.087%
TRCA,Twin Ridge Capital Acquisition Corp. Class A,Common stocks,4/26/2021,New York Stock Exchange,"$208,826,367 ",N,9.8,"21,308,813",9/23/2021,-3.087%
VPCB,VPC Impact Acquisition Holdings II - Class A ordinary shre,Common stocks,4/26/2021,NASDAQ Capital Market,"$250,668,967 ",N,9.8,"25,578,466",9/23/2021,-3.087%
GSEV,"Gores Holdings VII, Inc. Class A",Common stocks,4/14/2021,NASDAQ Capital Market,"$536,800,000 ",N,9.79,"55,000,000",9/11/2021,-3.089%
ANAC,Arctos NorthStar Acquisition Corp. Class A,Common stocks,4/15/2021,New York Stock Exchange,"$309,134,375 ",N,9.79,"31,625,000",9/12/2021,-3.101%
FTAA,FTAC Athena Acquisition Corp. Class A Ordinary Share,Common stocks,4/16/2021,NASDAQ Capital Market,"$250,954,800 ",N,9.79,"25,660,000",9/13/2021,-3.114%
LGAC,Lazard Growth Acquisition Corp. I,Common stocks,4/5/2021,NASDAQ Capital Market,"$562,350,000 ",N,9.78,"57,500,000",9/2/2021,-3.127%
MSAC,Medicus Sciences Acquisition Corp. Class A Ordinary Share,Common stocks,4/5/2021,NASDAQ Capital Market,"$90,782,840 ",N,9.78,"9,292,000",9/2/2021,-3.127%
MACA,Moringa Acquisition Corp Class A,Common stocks,4/6/2021,NASDAQ Capital Market,"$117,763,400 ",N,9.78,"11,980,000",9/3/2021,-3.139%
