Symbol,Units,Security Type,IPO Date,Exchange,Market Cap,Meger Pending?,Close,Shares,Expiration,Yield*
ALOR,ALSP Orchid Acquisition Corporation I Class A Ordinary Share,Common stocks,1/10/2022,NASDAQ Global Market,"$180,741,750 ",N,9.95,"18,165,000",6/9/2022,8.615%
PRLH,Pearl Holdings Acquisition Corp Class A,Common stocks,2/3/2022,NASDAQ Global Market,"$198,000,000 ",N,9.9,"20,000,000",7/3/2022,8.081%
LSPR,Larkspur Health Acquisition Corp. Class A,Common stocks,2/9/2022,NASDAQ Global Market,"$80,146,441 ",N,9.89,"8,087,431",7/9/2022,7.851%
PORT,Southport Acquisition Corporation Class A,Common stocks,1/31/2022,New York Stock Exchange,"$227,930,000 ",N,9.91,"23,000,000",6/30/2022,7.784%
SCUA,Sculptor Acquisition Corp I Class A,Common stocks,1/31/2022,New York Stock Exchange,"$227,010,000 ",N,9.91,"23,000,000",6/30/2022,7.784%
LGST,Semper Paratus Acquisition Corporation Class A,Common stocks,1/3/2022,NASDAQ Global Market,"$358,781,000 ",N,9.97,"35,950,000",6/2/2022,7.737%
SAGA,Sagaliam Acquisition Corp. Class A,Common stocks,2/10/2022,NASDAQ Global Market,"$118,828,350 ",N,9.89,"12,015,000",7/10/2022,7.700%
KCA=,Kensington Capital Acquisition Corp IV - Units (1Ord Class A &1Class 2 war),Units,4/22/2022,New York Stock Exchange,$0 ,N,9.75,0,9/19/2022,7.505%
ACAQ,Athena Consumer Acquisition Corp. Class A,Common stocks,12/10/2021,New York Stock Exchange,"$240,840,600 ",N,10.02,"24,060,000",5/9/2022,7.186%
ONYX,Onyx Acquisition Co. I - Class A,Common stocks,12/10/2021,NASDAQ Global Market,"$263,177,500 ",N,10.02,"26,450,000",5/9/2022,7.186%
BRKH,BurTech Acquisition Corp. Class A,Common stocks,1/31/2022,NASDAQ Global Market,"$285,200,000 ",N,9.92,"28,750,000",6/30/2022,6.912%
FRBN,Forbion European Acquisition Corp. Class A,Common stocks,1/31/2022,NASDAQ Global Market,"$125,488,000 ",N,9.92,"12,650,000",6/30/2022,6.912%
RJAC,Jackson Acquisition Company Class A,Common stocks,1/31/2022,New York Stock Exchange,"$146,308,999 ",N,9.92,"14,748,891",6/30/2022,6.912%
ACAX,Alset Capital Acquisition Corp. - Class A,Common stocks,3/24/2022,NASDAQ Global Market,"$89,713,675 ",N,9.83,"9,098,750",8/21/2022,6.623%
ACDI,Ascendant Digital Acquisition Corp. III,Common stocks,12/31/2021,New York Stock Exchange,"$299,400,000 ",N,9.98,"30,000,000",5/30/2022,6.559%
GHIX,"Gores Holdings IX, Inc. Class A",Common stocks,3/3/2022,NASDAQ Global Market,"$506,625,000 ",N,9.87,"52,500,000",7/31/2022,6.495%
AHRN,Ahren Acquisition Corp. Class A,Common stocks,2/3/2022,NASDAQ Global Market,"$298,198,012 ",N,9.92,"29,999,800",7/3/2022,6.452%
