Symbol,Name,Category,Exercise Price,Last Close Price,Issuer Last Close Price,Issuer Market cap,20 Day Average Volume,Issuer Symbol,Issuer,Type,Profit,Return
CRESW,Cresud S.A.C.I.F. y A. Warrant,Operating Companies,$0.00 ,$0.51 ,$6.42 ,"$384,294,335 ","80,157",CRESY,Cresud SACIF ADRs,ADRs,5.91,1158.82%
GIPRW,Generation Income Properties Inc Warrant,Operating Companies,$0.00 ,$0.57 ,$6.60 ,"$14,067,225 ","3,234",GIPR,Generation Income Properties Inc,Common stocks,6.03,1057.89%
DTSTW,Data Storage Corporation Warrant,Operating Companies,$0.00 ,$0.25 ,$2.77 ,"$20,359,266 ","18,059",DTST,Data Storage Corporation,Common stocks,2.52,1008.00%
OXBRW,Oxbridge Re Holdings Limited Warrant,Operating Companies,$0.00 ,$0.44 ,$4.84 ,"$28,156,329 ","9,462",OXBR,Oxbridge Re Holdings Limited,Common stocks,4.4,1000.00%
LBPSW,4D pharma plc - Warrant,Operating Companies,$0.00 ,$0.29 ,$3.17 ,"$73,923,397 ","4,509",LBPS,4D pharma plc ADRs,ADRs,2.88,993.10%
IGICW,International General Insurance Holdings Ltd. - Warrant expiring 3/17/2025,Operating Companies,$0.00 ,$0.75 ,$7.99 ,"$373,973,624 ","4,900",IGIC,International General Insurance Holdings Ltd.,Common stocks,7.24,965.33%
LGHLW,Lion Group Holding Ltd. - Warrant,Operating Companies,$0.00 ,$0.10 ,$1.00 ,"$37,183,751 ","66,028",LGHL,Lion Group Holding Ltd. ADRs,ADRs,0.9,900.00%
GRNAW,"GreenLight Biosciences Holdings, PBC - Warrant",Operating Companies,$0.00 ,$0.74 ,$7.04 ,"$835,290,590 ","21,920",GRNA,"GreenLight Biosciences Holdings, PBC",Common stocks,6.3,851.35%
GCMGW,GCM Grosvenor Inc. - Warrant,Operating Companies,$0.00 ,$0.85 ,$7.99 ,"$348,790,664 ","55,978",GCMG,GCM Grosvenor Inc. - Class A,Common stocks,7.14,840.00%
GDEVW,Nexters Inc. - Warrant,Operating Companies,$0.00 ,$0.71 ,$6.38 ,$0 ,"65,450",GDEV,Nexters Inc.,Common stocks,5.67,798.59%
OTMOW,Otonomo Technologies Ltd. - Warrant,Operating Companies,$0.00 ,$0.15 ,$1.34 ,"$191,711,363 ","3,700",OTMO,Otonomo Technologies Ltd.,Common stocks,1.19,793.33%
LILMW,Lilium N.V. - Warrants,Operating Companies,$0.00 ,$0.36 ,$3.21 ,"$782,734,772 ","54,744",LILM,Lilium N.V. - Class A,Common stocks,2.85,791.67%
